id_detalle,id_venta,id_producto,cantidad,precio_unitario
117,1048,117,3,27260
118,1048,136,4,21420
119,1048,118,1,65600
120,1049,137,1,12730
121,1049,156,1,22780
122,1050,129,2,24580
123,1050,101,1,29840
124,1051,124,1,3080
125,1051,114,1,14460
126,1052,152,4,36720
127,1052,121,1,10540
128,1053,141,2,56270
129,1054,135,1,32930
130,1054,129,3,25870
131,1054,126,1,14200
132,1055,101,1,28340
133,1055,151,1,5410
134,1055,152,2,36720
135,1056,128,3,6520
136,1057,115,3,23350
137,1057,143,2,26450
138,1058,147,2,63640
139,1058,134,1,25820
140,1058,139,2,17600
141,1059,118,5,65600
142,1059,135,5,32930
143,1059,111,1,16680
144,1060,108,2,27140
145,1060,126,2,14200
146,1060,121,4,10010
147,1061,104,3,153300
148,1061,126,1,14200
149,1061,112,2,24840
150,1061,152,1,36720
151,1062,114,3,15220
152,1062,125,2,10920
153,1063,107,1,119270
154,1063,126,1,14200
155,1064,101,1,29840
156,1064,148,2,42460
157,1065,141,2,56270
158,1066,126,4,14200
159,1066,142,1,35430
160,1067,127,2,4560
161,1067,106,3,128010
162,1067,126,8,14200
163,1068,107,1,132530
164,1068,155,1,57620
165,1068,126,1,14200
166,1069,156,1,22780
167,1069,126,1,14200
168,1069,103,1,109920
169,1070,146,2,40630
170,1071,127,2,4560
171,1071,122,1,4560
172,1071,126,3,14200
173,1071,125,1,10920
174,1072,106,2,128010
175,1072,129,1,25870
176,1073,132,3,14450
177,1074,126,1,14200
178,1075,103,3,115710
179,1076,122,1,4100
180,1076,143,1,26450
181,1077,126,1,14200
182,1077,106,2,128010
183,1078,128,2,6520
184,1078,127,2,4560
185,1079,106,2,128010
186,1079,148,2,42460
187,1079,127,1,4560
188,1079,126,1,14200
189,1079,139,1,17600
190,1080,144,1,38540
191,1081,101,6,29840
192,1081,104,1,153300
193,1081,121,1,10540
194,1082,141,3,56270
195,1082,117,7,27260
196,1082,127,3,4560
197,1083,115,1,22180
198,1083,121,1,10540
199,1083,132,2,14450
200,1084,131,2,28230
201,1084,119,1,24640
202,1085,125,2,10920
203,1085,156,3,22780
204,1086,135,1,32930
205,1086,102,2,95030
206,1086,126,2,14200
207,1086,119,1,24640
208,1087,107,2,132530
209,1087,121,1,10540
210,1088,142,1,35430
211,1089,123,2,6180
212,1089,129,1,25870
213,1089,128,1,6520
214,1090,121,1,10540
215,1090,109,3,117480
216,1090,123,3,6180
217,1090,141,1,56270
218,1091,105,2,137510
219,1091,143,1,26450
220,1092,148,1,42460
221,1092,119,2,24640
222,1092,125,2,10920
223,1092,121,3,10540
224,1093,115,2,23350
225,1093,103,4,109920
226,1094,138,1,24530
227,1094,156,4,22780
228,1094,121,3,10540
229,1095,132,4,14450
230,1095,105,1,137510
231,1096,119,7,24640
232,1096,126,4,14200
233,1096,145,1,54600
234,1097,123,4,6180
235,1097,159,1,7920
236,1098,107,2,132530
237,1098,143,1,26450
238,1098,126,1,14200
239,1098,141,2,56270
240,1099,112,2,26140
241,1100,156,2,22780
242,1100,124,1,2770
243,1101,111,4,18530
244,1101,152,2,36720
245,1101,107,2,132530
246,1101,101,1,28340
247,1102,132,1,13730
248,1102,134,3,28690
249,1102,129,1,25870
250,1103,125,1,10920
251,1103,108,4,27140
252,1104,138,1,24530
253,1104,112,3,26140
254,1104,114,2,15220
255,1104,108,2,27140
256,1105,156,2,20500
257,1105,127,3,4100
258,1105,126,1,14200
259,1106,128,1,6520
260,1106,126,1,14200
261,1107,125,2,9830
262,1108,125,1,10920
263,1108,138,2,24530
264,1108,105,1,137510
265,1109,154,3,3680
266,1110,141,1,53460
267,1110,156,1,22780
268,1110,145,4,54600
269,1111,108,3,27140
270,1111,128,1,6520
271,1111,101,7,29840
272,1111,114,1,15220
273,1112,107,2,132530
274,1112,109,3,117480
275,1113,101,1,29840
276,1114,125,1,10920
277,1114,123,2,6180
278,1114,104,6,145630
279,1115,101,3,29840
280,1115,152,1,36720
281,1116,109,2,117480
282,1116,139,1,17600
283,1117,129,1,25870
284,1118,122,1,4560
285,1119,127,2,4560
286,1119,118,2,59040
287,1119,107,2,132530
288,1119,143,1,26450
289,1120,121,4,10540
290,1121,107,1,132530
291,1121,129,2,25870
292,1121,126,5,14200
293,1122,148,1,42460
294,1123,124,7,3080
295,1124,135,2,32930
296,1124,101,1,28340
297,1124,114,2,15220
298,1125,101,2,29840
299,1125,113,2,64990
300,1125,121,3,10540
301,1126,121,2,10540
302,1126,148,2,42460
303,1127,127,2,4560
304,1128,154,1,3680
305,1128,121,3,10540
306,1129,123,2,6180
307,1129,132,1,14450
308,1130,126,1,12780
309,1130,114,3,15220
310,1130,125,8,10920
311,1130,157,1,9630
312,1131,153,1,46460
313,1131,119,4,24640
314,1131,121,8,10540
315,1132,126,2,13490
316,1132,101,1,29840
317,1132,156,1,22780
318,1133,135,2,32930
319,1133,112,1,23530
320,1133,113,1,64990
321,1133,118,2,65600
322,1134,114,1,15220
323,1134,103,2,104140
324,1134,135,1,32930
325,1135,154,1,3870
326,1135,134,1,28690
327,1135,141,2,53460
328,1135,125,1,10920
329,1135,121,1,10540
330,1136,107,1,132530
331,1136,154,3,3870
332,1136,118,1,62320
333,1137,125,2,10920
334,1137,108,3,27140
335,1138,121,1,10540
336,1138,138,2,24530
337,1138,149,1,63180
338,1139,129,2,25870
339,1139,147,1,63640
340,1139,124,1,3080
341,1140,125,4,9830
342,1140,129,2,25870
343,1140,152,2,33050
344,1141,151,1,5700
345,1141,154,2,3870
346,1141,155,1,57620
347,1142,121,1,10540
348,1142,131,4,31360
349,1143,105,1,137510
350,1143,101,1,29840
351,1144,102,1,95030
352,1144,143,1,26450
353,1145,123,1,6180
354,1146,127,3,4560
355,1146,138,4,24530
356,1146,125,1,10370
357,1146,109,4,117480
358,1147,107,2,132530
359,1147,151,1,5700
360,1147,152,1,36720
361,1148,125,8,10920
362,1149,114,2,15220
363,1149,127,1,4560
364,1149,125,2,10920
365,1149,134,2,28690
366,1149,122,3,4330
367,1150,137,2,12730
368,1150,141,3,56270
369,1150,142,8,35430
370,1151,126,2,14200
371,1151,144,7,38540
372,1151,124,1,3080
373,1152,109,1,117480
374,1152,102,1,95030
375,1152,159,3,7130
376,1152,148,3,42460
377,1152,136,1,21420
378,1153,147,5,63640
379,1153,114,3,15220
380,1153,109,1,117480
381,1153,128,2,6520
382,1154,132,7,14450
383,1154,152,1,36720
384,1155,121,1,10540
385,1155,145,1,54600
386,1155,146,8,40630
387,1156,121,1,10540
388,1156,129,3,25870
389,1157,141,2,56270
390,1157,117,1,27260
391,1157,118,2,65600
392,1157,148,1,38210
393,1158,151,1,5700
394,1158,101,1,29840
395,1159,101,3,29840
396,1160,152,1,36720
397,1160,156,2,22780
398,1160,132,2,14450
399,1160,139,3,17600
400,1160,107,1,132530
401,1161,154,1,3870
402,1162,104,4,153300
403,1162,146,1,40630
404,1162,123,1,6180
405,1162,121,2,10540
406,1163,138,2,24530
407,1163,156,3,22780
408,1163,143,3,26450
409,1163,106,2,128010
410,1164,132,3,14450
411,1165,125,2,10370
412,1165,152,2,36720
413,1165,145,1,49140
414,1166,122,1,4560
415,1166,152,4,36720
416,1166,121,1,10010
417,1166,149,3,63180
418,1167,112,6,26140
419,1167,101,2,29840
420,1168,128,1,5870
421,1168,152,1,36720
422,1168,125,4,10920
423,1169,128,1,5870
424,1169,144,2,34690
425,1169,114,3,13700
426,1169,103,1,115710
427,1170,107,1,132530
428,1170,135,2,32930
429,1170,138,2,24530
430,1171,121,1,10540
431,1171,157,1,9630
432,1171,113,1,64990
433,1171,102,2,95030
434,1172,123,3,5560
435,1173,111,1,18530
436,1173,105,2,137510
437,1173,141,2,56270
438,1174,156,4,22780
439,1174,132,1,13000
440,1174,101,4,29840
441,1174,114,3,15220
442,1175,126,1,12780
443,1175,125,4,10920
444,1175,141,2,53460
445,1176,119,2,22180
446,1176,125,1,10920
447,1176,121,1,10540
448,1177,143,1,26450
449,1177,129,2,25870
450,1178,106,1,128010
451,1178,144,1,38540
452,1178,152,1,36720
453,1178,122,2,4560
454,1179,113,3,64990
455,1179,107,1,132530
456,1179,143,2,26450
457,1179,102,1,95030
458,1180,152,4,36720
459,1180,105,1,137510
460,1180,151,1,5700
461,1181,132,1,14450
462,1181,154,5,3680
463,1182,144,1,38540
464,1182,126,1,14200
465,1183,105,2,137510
466,1184,114,4,14460
467,1184,123,1,6180
468,1185,132,1,14450
469,1185,158,3,25660
470,1186,143,2,26450
471,1186,101,2,29840
472,1186,135,2,32930
473,1187,143,1,26450
474,1188,127,1,4330
475,1188,155,2,51860
476,1188,122,1,4560
477,1188,102,2,95030
478,1189,152,2,36720
479,1190,121,1,10010
480,1190,154,1,3870
481,1191,107,1,132530
482,1191,143,4,26450
483,1191,141,1,56270
484,1192,126,4,13490
485,1192,105,1,137510
486,1192,154,4,3680
487,1193,157,2,9630
488,1193,128,3,6520
489,1193,107,2,132530
490,1193,122,2,4560
491,1194,129,1,25870
492,1194,142,2,35430
493,1195,113,4,64990
494,1196,101,3,29840
495,1196,121,4,10540
496,1196,126,2,14200
497,1197,111,1,18530
498,1197,101,7,29840
499,1197,121,1,10540
500,1197,107,1,125900
501,1198,145,1,54600
502,1198,156,2,22780
503,1199,115,4,23350
504,1199,153,2,46460
505,1199,157,1,9630
506,1200,101,1,29840
507,1200,142,2,35430
508,1200,107,2,132530
509,1200,103,1,115710
510,1201,141,2,56270
511,1201,156,7,22780
512,1201,158,1,25660
513,1201,121,7,10540
514,1202,158,1,25660
515,1203,124,4,3080
516,1203,159,1,7920
517,1203,146,1,40630
518,1203,114,4,14460
519,1204,103,1,115710
520,1204,123,2,6180
521,1205,107,1,132530
522,1205,123,1,6180
523,1206,125,7,10920
524,1206,101,2,29840
525,1207,138,3,24530
526,1207,114,7,15220
527,1208,157,1,9630
528,1209,124,1,3080
529,1209,112,7,26140
530,1209,142,7,35430
531,1209,158,1,24380
532,1210,123,3,6180
533,1210,154,1,3480
534,1210,119,3,24640
535,1210,114,1,15220
536,1211,141,1,56270
537,1211,104,1,153300
538,1211,128,1,6520
539,1212,109,3,117480
540,1212,107,2,132530
541,1212,154,1,3480
542,1213,156,1,22780
543,1213,125,2,10920
544,1214,119,3,24640
545,1214,143,1,26450
546,1214,101,2,29840
547,1214,151,2,5700
548,1215,101,1,28340
549,1215,107,7,132530
550,1215,148,2,42460
551,1216,108,1,25790
552,1216,154,1,3870
553,1217,126,1,14200
554,1217,143,6,26450
555,1217,109,1,117480
556,1218,101,3,29840
557,1218,143,2,26450
558,1219,139,3,17600
559,1220,123,2,6180
560,1220,126,2,14200
561,1221,121,1,10540
562,1221,114,1,15220
563,1222,141,4,56270
564,1222,151,3,5700
565,1222,109,1,111610
566,1223,139,2,16720
567,1223,121,2,9490
568,1224,102,2,95030
569,1224,158,3,25660
570,1225,114,2,15220
571,1225,143,2,26450
572,1225,128,1,6520
573,1225,112,1,26140
574,1226,134,1,25820
575,1226,106,1,128010
576,1227,107,1,125900
577,1228,146,3,40630
578,1228,108,1,27140
579,1228,137,1,12730
580,1228,125,1,10370
581,1228,113,1,64990
582,1229,117,2,27260
583,1229,121,2,10540
584,1229,145,7,54600
585,1229,129,2,25870
586,1230,158,1,24380
587,1231,121,7,10540
588,1231,144,4,38540
589,1232,101,2,29840
590,1232,114,1,15220
591,1232,115,8,23350
592,1232,121,1,10540
593,1233,129,3,23280
594,1233,158,2,25660
595,1233,121,2,10540
596,1233,122,1,4560
597,1234,146,2,40630
598,1235,101,2,26850
599,1235,159,1,7920
600,1235,124,1,3080
601,1236,103,1,115710
602,1236,149,2,63180
603,1236,126,3,14200
604,1236,115,1,23350
605,1237,138,1,24530
606,1237,148,3,42460
607,1238,156,1,22780
608,1238,142,2,35430
609,1238,102,3,95030
610,1239,135,1,32930
611,1239,152,1,36720
612,1240,107,1,132530
613,1240,101,1,28340
614,1240,148,1,42460
615,1240,121,1,9490
616,1240,127,1,4330
617,1241,153,1,46460
618,1241,138,1,24530
619,1242,126,2,14200
620,1242,105,2,137510
621,1242,141,3,56270
622,1242,131,2,31360
623,1243,109,1,117480
624,1243,105,1,137510
625,1244,142,1,35430
626,1244,105,2,137510
627,1245,125,3,9830
628,1245,121,2,10540
629,1245,114,1,15220
630,1246,121,1,10540
631,1246,148,4,42460
632,1246,105,3,137510
633,1246,152,3,36720
634,1247,135,1,29640
635,1247,152,4,36720
636,1248,122,3,4560
637,1248,151,2,5700
638,1249,121,2,10540
639,1249,134,5,28690
640,1250,107,2,119270
641,1251,136,1,23180
642,1251,121,3,11530
643,1252,152,1,39280
644,1252,141,1,61570
645,1253,151,1,6360
646,1254,111,3,20710
647,1254,153,3,49660
648,1255,136,2,23180
649,1255,155,1,65170
650,1255,158,1,27730
651,1256,107,2,131760
652,1256,143,3,28880
653,1256,125,1,12090
654,1256,156,2,24660
655,1257,118,1,70880
656,1257,142,3,38730
657,1257,125,1,10880
658,1257,124,4,3220
659,1258,114,1,16260
660,1259,104,6,160260
661,1259,129,2,27340
662,1260,148,8,44900
663,1260,143,1,28880
664,1260,151,2,6360
665,1261,126,1,15700
666,1261,156,1,22190
667,1262,158,1,27730
668,1262,126,3,15700
669,1263,151,1,6360
670,1263,156,4,24660
671,1263,126,2,15700
672,1264,112,1,27970
673,1264,102,3,103870
674,1264,114,4,16260
675,1265,125,1,12090
676,1265,107,1,146400
677,1266,145,2,60450
678,1266,151,1,6360
679,1267,111,1,19670
680,1267,156,5,24660
681,1268,134,3,30640
682,1268,156,4,24660
683,1268,148,5,44900
684,1268,107,1,146400
685,1269,144,1,38280
686,1269,157,1,9900
687,1270,105,2,152240
688,1270,116,6,17300
689,1271,146,1,44930
690,1271,117,3,29480
691,1271,144,1,40300
692,1272,152,3,39280
693,1272,126,1,15700
694,1273,151,1,6050
695,1273,132,2,15460
696,1274,143,2,27440
697,1274,156,3,24660
698,1275,107,2,146400
699,1275,108,5,28700
700,1275,156,2,24660
701,1276,125,2,12090
702,1276,143,8,28880
703,1276,152,1,37320
704,1277,121,1,11530
705,1277,143,1,27440
706,1277,146,1,44930
707,1277,125,5,11490
708,1278,125,2,12090
709,1278,122,3,4980
710,1279,141,1,61570
711,1279,157,3,10420
712,1279,136,1,23180
713,1280,107,2,139080
714,1280,117,1,26530
715,1280,152,1,39280
716,1281,101,3,32640
717,1281,125,1,12090
718,1281,115,1,26410
719,1282,129,4,25970
720,1283,126,1,15700
721,1283,133,1,52080
722,1283,135,3,37240
723,1283,142,1,38730
724,1284,121,7,11530
725,1284,143,1,28880
726,1285,129,1,27340
727,1285,141,1,61570
728,1285,156,2,24660
729,1285,151,4,6360
730,1286,114,1,16260
731,1287,111,2,20710
732,1287,108,1,28700
733,1288,159,2,8550
734,1288,122,2,4980
735,1289,121,1,11530
736,1290,126,2,15700
737,1290,159,3,8550
738,1291,152,8,39280
739,1291,132,2,15460
740,1291,106,2,141560
741,1292,106,1,141560
742,1292,131,2,35060
743,1292,126,1,15700
744,1293,108,1,28700
745,1293,123,2,6410
746,1294,121,1,11530
747,1294,128,2,6900
748,1295,143,1,28880
749,1296,125,3,12090
750,1296,124,1,3220
751,1297,101,1,32640
752,1297,148,1,40410
753,1298,136,2,23180
754,1298,135,1,37240
755,1298,154,2,4140
756,1298,102,3,98680
757,1299,154,1,4140
758,1299,134,2,30640
759,1300,125,2,12090
760,1300,121,1,11530
761,1301,124,2,3220
762,1301,143,2,28880
763,1302,121,1,11530
764,1303,128,1,6900
765,1303,116,2,17300
766,1304,117,2,29480
767,1304,127,2,4780
768,1305,158,2,27730
769,1305,147,2,70300
770,1306,122,2,4980
771,1307,138,1,26510
772,1307,143,3,28880
773,1308,106,1,127410
774,1308,142,1,38730
775,1309,127,2,5040
776,1310,117,1,29480
777,1310,126,1,15700
778,1310,125,1,12090
779,1310,124,1,3220
780,1311,126,1,15700
781,1311,144,1,40300
782,1312,131,1,35060
783,1312,101,1,32640
784,1313,107,7,146400
785,1313,134,3,30640
786,1314,107,2,146400
787,1314,123,2,6750
788,1314,153,2,49660
789,1315,126,1,15700
790,1315,125,2,12090
791,1316,124,4,3220
792,1316,114,2,16260
793,1316,125,2,12090
794,1317,143,2,28880
795,1317,127,2,4530
796,1318,144,4,40300
797,1318,126,3,15700
798,1318,101,1,32640
799,1318,141,2,61570
800,1319,156,1,24660
801,1319,121,1,11530
802,1320,127,1,5040
803,1320,117,1,29480
804,1320,109,2,124160
805,1321,106,3,141560
806,1322,156,2,24660
807,1322,152,2,39280
808,1322,102,1,103870
809,1323,103,3,113720
810,1323,101,2,32640
811,1324,119,1,26600
812,1325,112,4,27970
813,1325,157,1,10420
814,1326,125,3,12090
815,1326,101,1,32640
816,1327,126,1,15700
817,1327,134,2,27580
818,1327,152,1,39280
819,1328,107,1,146400
820,1328,129,1,27340
821,1329,121,2,11530
822,1330,114,2,14640
823,1330,158,1,27730
824,1330,121,2,11530
825,1331,154,2,4140
826,1331,141,1,61570
827,1331,144,2,40300
828,1332,151,2,6360
829,1332,152,8,39280
830,1332,121,1,11530
831,1333,145,3,60450
832,1333,138,1,26510
833,1333,142,1,38730
834,1334,142,1,38730
835,1334,132,1,15460
836,1334,101,2,32640
837,1334,159,2,8550
838,1335,107,1,146400
839,1335,156,7,24660
840,1335,151,1,6360
841,1335,152,2,39280
842,1336,121,2,11530
843,1336,152,1,39280
844,1336,124,8,3220
845,1337,121,3,11530
846,1337,125,2,12090
847,1337,119,1,26600
848,1338,103,7,126350
849,1338,135,1,37240
850,1338,101,3,32640
851,1338,125,1,12090
852,1339,125,1,12090
853,1339,105,1,152240
854,1340,142,1,38730
855,1341,102,1,98680
856,1341,134,2,30640
857,1341,125,2,12090
858,1342,125,2,10880
859,1342,126,1,15700
860,1343,106,2,141560
861,1343,132,1,15460
862,1343,103,1,126350
863,1343,148,1,44900
864,1344,157,2,10420
865,1344,143,1,28880
866,1344,118,6,63790
867,1345,124,2,3220
868,1345,111,2,20710
869,1345,112,1,27970
870,1346,157,2,9370
871,1346,132,2,15460
872,1346,124,1,3220
873,1346,108,3,28700
874,1347,122,7,4480
875,1347,124,1,3220
876,1347,152,1,39280
877,1347,101,1,32640
878,1348,115,1,26410
879,1348,109,1,124160
880,1348,152,2,39280
881,1349,121,1,11530
882,1349,112,2,27970
883,1349,126,2,14130
884,1350,148,1,44900
885,1350,111,1,18640
886,1351,152,2,39280
887,1351,117,2,29480
888,1351,107,2,146400
889,1352,147,1,70300
890,1352,132,1,15460
891,1353,109,1,124160
892,1353,143,2,28880
893,1353,126,3,15700
894,1353,125,1,12090
895,1354,122,2,4980
896,1354,108,1,27270
897,1354,152,1,39280
898,1354,114,1,16260
899,1355,109,1,124160
900,1355,114,2,16260
901,1355,138,1,23860
902,1356,127,1,5040
903,1356,121,3,11530
904,1357,132,2,15460
905,1357,107,1,146400
906,1357,152,4,39280
907,1358,145,3,60450
908,1358,101,1,32640
909,1358,137,2,13760
910,1358,159,1,7700
911,1359,125,3,10880
912,1359,156,1,24660
913,1359,122,7,4980
914,1360,124,1,3220
915,1360,141,1,61570
916,1360,123,2,6750
917,1360,147,3,70300
918,1360,127,1,5040
919,1361,111,3,18640
920,1361,106,1,141560
921,1361,129,1,27340
922,1362,156,1,24660
923,1362,122,7,4980
924,1362,111,1,19670
925,1362,117,1,29480
926,1363,152,1,39280
927,1363,107,2,146400
928,1364,129,6,27340
929,1364,126,2,15700
930,1364,143,2,28880
931,1364,114,1,15450
932,1365,121,3,11530
933,1365,152,2,39280
934,1365,145,2,60450
935,1365,123,2,6070
936,1366,117,3,29480
937,1366,135,1,37240
938,1367,159,4,7700
939,1368,126,1,15700
940,1368,147,5,66780
941,1369,122,1,4480
942,1369,144,1,40300
943,1370,125,1,12090
944,1371,143,1,28880
945,1371,124,1,3220
946,1371,125,1,12090
947,1372,101,3,32640
948,1372,119,1,26600
949,1372,125,2,12090
950,1372,112,2,27970
951,1373,132,3,15460
952,1373,102,5,103870
953,1373,122,1,4980
954,1373,112,3,27970
955,1374,152,1,39280
956,1374,108,1,28700
957,1374,109,3,124160
958,1375,114,1,16260
959,1375,122,1,4980
960,1375,108,1,25830
961,1376,124,2,3220
962,1376,146,2,44930
963,1376,126,1,15700
964,1377,123,1,6750
965,1377,156,2,24660
966,1378,138,8,26510
967,1378,103,1,126350
968,1379,159,1,8550
969,1379,114,2,15450
970,1379,134,1,30640
971,1380,135,1,37240
972,1380,114,1,16260
973,1380,143,8,28880
974,1381,118,2,70880
975,1381,101,1,32640
976,1381,152,2,39280
977,1381,121,1,10960
978,1382,103,1,126350
979,1382,112,3,27970
980,1382,136,2,23180
981,1382,107,1,146400
982,1383,114,2,16260
983,1383,121,1,11530
984,1384,123,1,6750
985,1385,143,2,27440
986,1385,146,1,44930
987,1386,119,1,26600
988,1386,127,2,5040
989,1386,128,2,6900
990,1387,156,7,24660
991,1388,156,1,24660
992,1388,154,1,3720
993,1388,158,2,27730
994,1389,125,2,12090
995,1389,114,2,16260
996,1390,136,1,23180
997,1390,156,2,24660
998,1390,142,1,38730
999,1391,141,2,61570
1000,1392,152,5,39280
1001,1393,156,3,24660
1002,1393,122,1,4980
1003,1394,115,2,26410
1004,1394,121,1,11530
1005,1395,143,1,28880
1006,1395,105,3,152240
1007,1395,134,4,30640
1008,1396,101,2,32640
1009,1396,107,1,146400
1010,1397,142,1,38730
1011,1398,125,6,12090
1012,1398,151,4,6360
1013,1398,109,3,111740
1014,1399,105,1,137020
1015,1400,129,1,24610
1016,1400,125,2,10880
1017,1401,126,4,15700
1018,1401,101,1,32640
1019,1402,125,4,12090
1020,1402,121,1,11530
1021,1402,154,1,4140
1022,1402,159,2,8550
1023,1403,107,3,146400
1024,1403,134,2,30640
1025,1403,153,1,49660
1026,1403,119,3,25270
1027,1404,153,2,49660
1028,1405,114,1,16260
1029,1405,126,1,15700
1030,1405,145,1,60450
1031,1406,132,3,15460
1032,1406,143,1,28880
1033,1407,105,4,152240
1034,1407,152,4,39280
1035,1408,127,2,4530
1036,1408,114,3,16260
1037,1408,108,1,28700
1038,1409,125,2,12090
1039,1409,155,2,65170
1040,1409,107,2,146400
1041,1410,136,2,23180
1042,1410,122,2,4980
1043,1411,149,2,66770
1044,1411,114,1,16260
1045,1411,107,4,146400
1046,1411,105,5,152240
1047,1412,111,2,20710
1048,1412,123,1,6750
1049,1413,129,3,27340
1050,1413,106,2,141560
1051,1413,101,2,32640
1052,1413,152,1,39280
1053,1414,126,3,15700
1054,1414,143,1,28880
1055,1415,157,2,10420
1056,1415,102,1,103870
1057,1415,148,2,44900
1058,1416,143,3,28880
1059,1416,118,8,70880
1060,1417,139,2,19000
1061,1417,159,1,8550
1062,1417,144,1,40300
1063,1418,129,2,27340
1064,1418,149,1,66770
1065,1419,118,2,70880
1066,1419,107,5,146400
1067,1420,159,1,8550
1068,1420,107,1,146400
1069,1421,109,4,124160
1070,1421,102,1,103870
1071,1421,158,2,27730
1072,1421,136,1,23180
1073,1422,147,2,70300
1074,1422,139,1,19000
1075,1422,146,1,44930
1076,1423,126,2,15700
1077,1423,101,2,32640
1078,1424,126,1,15700
1079,1424,141,1,61570
1080,1424,124,8,2900
1081,1424,134,1,30640
1082,1425,107,1,131760
1083,1425,152,1,39280
1084,1425,142,1,38730
1085,1425,101,4,32640
1086,1426,158,1,27730
1087,1426,139,1,19000
1088,1427,107,1,146400
1089,1428,159,2,8550
1090,1428,134,5,30640
1091,1429,121,1,11530
1092,1429,152,2,37320
1093,1429,157,2,10420
1094,1430,125,4,12090
1095,1430,156,2,24660
1096,1431,137,2,13760
1097,1431,139,1,19000
1098,1431,143,4,28880
1099,1431,128,2,6900
1100,1432,125,1,12090
1101,1432,121,1,11530
1102,1432,105,4,152240
1103,1432,156,2,24660
1104,1433,134,1,30640
1105,1434,132,1,14680
1106,1434,118,1,70880
1107,1435,144,3,40300
1108,1435,157,1,10420
1109,1435,127,1,5040
1110,1436,144,1,40300
1111,1436,102,1,103870
1112,1436,143,2,28880
1113,1436,158,4,27730
1114,1437,149,4,66770
1115,1437,121,1,10380
1116,1438,156,2,24660
1117,1438,108,4,28700
1118,1438,102,2,103870
1119,1439,127,1,5040
1120,1439,159,2,8550
1121,1439,152,2,39280
1122,1440,144,2,40300
1123,1440,156,4,24660
1124,1440,147,2,70300
1125,1441,105,4,152240
1126,1441,152,1,35360
1127,1442,151,1,6050
1128,1442,152,1,39280
1129,1442,148,3,42650
1130,1442,117,3,26530
1131,1443,136,6,23180
1132,1443,121,8,11530
1133,1443,123,2,6750
1134,1444,107,2,146400
1135,1444,126,1,15700
1136,1445,111,1,20710
1137,1445,149,1,66770
1138,1446,122,1,4980
1139,1447,101,3,32640
1140,1447,125,1,12090
1141,1448,117,2,29480
1142,1448,125,3,12090
1143,1448,132,3,15460
1144,1449,107,1,146400
1145,1450,126,4,15700
1146,1450,146,1,44930
1147,1450,114,1,16260
1148,1450,143,1,28880
1149,1451,152,1,39280
